t,s,ds,e,de,i,di,r,dr
148,7639857,-60906,223147,-8626,368232,-5143,54852962,74675
149,7584102,-55755,211958,-11189,361530,-6702,54926608,73646
150,7534243,-49859,198230,-13728,352811,-8719,54998914,72306
151,7489832,-44411,183172,-15058,341718,-11093,55069477,70563
152,7450224,-39608,167828,-15344,328326,-13392,55137820,68343
153,7414025,-36199,153679,-14149,313009,-15317,55203485,65665
154,7378903,-35122,142697,-10982,296511,-16498,55266087,62602
155,7342779,-36124,136012,-6685,280018,-16493,55325389,59302
156,7304598,-38181,133390,-2622,264818,-15200,55381393,56004
157,7264177,-40421,133793,403,251871,-12947,55434356,52963
158,7221506,-42671,136327,2534,241635,-10236,55484731,50375
159,7176381,-45125,140553,4226,234206,-7429,55533058,48327
160,7128945,-47436,145824,5271,229531,-4675,55579899,46841
161,7080599,-48346,150422,4598,227372,-2159,55625805,45906
162,7033793,-46806,152102,1680,227024,-348,55671279,45474
163,6989995,-43798,150269,-1833,227250,226,55716684,45405
164,6948371,-41624,146813,-3456,226881,-369,55762134,45450
165,6908214,-40157,142926,-3887,225548,-1333,55807510,45376
166,6869451,-38763,138811,-4115,223316,-2232,55852620,45110
167,6832643,-36808,133975,-4836,220296,-3020,55897283,44663
168,6798662,-33981,127764,-6211,216430,-3866,55941342,44059
169,6767778,-30884,120319,-7445,211473,-4957,55984628,43286
170,6739240,-28538,112761,-7558,205274,-6199,56026923,42295
171,6711502,-27738,106671,-6090,198048,-7226,56067978,41055
172,6683136,-28366,103035,-3636,190439,-7609,56107587,39609
173,6653535,-29601,101726,-1309,183262,-7177,56145675,38088
174,6622734,-30801,102009,283,177127,-6135,56182327,36652
175,6590980,-31754,103160,1151,172305,-4822,56217753,35426
176,6558566,-32414,104626,1466,168792,-3513,56252214,34461
177,6525548,-33018,106256,1630,166421,-2371,56285972,33758
178,6491514,-34034,108413,2157,165014,-1407,56319256,33284
179,6456097,-35417,111307,2894,164535,-479,56352259,33003
180,6419432,-36665,114580,3273,165020,485,56385166,32907
181,6381441,-37991,118197,3617,166390,1370,56418170,33004
182,6341399,-40042,122780,4583,168571,2181,56451448,33278
183,6298998,-42401,128347,5567,171691,3120,56485163,33715
184,6255397,-43601,133444,5097,175857,4166,56519501,34338
185,6212484,-42913,136324,2880,180718,4861,56554672,35171
186,6170720,-41764,137190,866,185472,4754,56590816,36144
187,6128487,-42233,138266,1076,189535,4063,56627910,37094
188,6084240,-44247,141034,2768,193107,3572,56665817,37907
189,6038190,-46050,144773,3739,196796,3689,56704439,38622
190,5991826,-46364,147706,2933,200869,4073,56743798,39359
191,5946389,-45437,148831,1125,205007,4138,56783972,40174
192,5901847,-44542,148723,-108,208655,3648,56824973,41001
193,5857614,-44233,148339,-384,211541,2886,56866704,41731
194,5812997,-44617,148455,116,213734,2193,56909012,42308
195,5767221,-45776,149694,1239,215524,1790,56951759,42747
196,5720121,-47100,151886,2192,217327,1803,56994864,43105
197,5672417,-47704,154024,2138,219428,2101,57038329,43465
198,5624892,-47525,155341,1317,221749,2321,57082215,43886
199,5577531,-47361,156101,760,224002,2253,57126565,44350
